artist,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
*NSYNC,60.0,86.0,100.0,131.0,144.0,154.0,154.0,158.0,158.0,158.0,164.0,164.0,164.0
10 Years,0.0,1.0,361.0,645.0,706.0,799.0,821.0,891.0,891.0,945.0,968.0,970.0,970.0
3 Doors Down,0.0,61.0,127.0,140.0,143.0,151.0,154.0,159.0,160.0,160.0,162.0,166.0,167.0
5 Seconds of Summer,0.0,1.0,2.0,2.0,2.0,10.0,27.0,42.0,44.0,201.0,277.0,281.0,281.0
A Perfect Circle,0.0,11.0,42.0,243.0,287.0,414.0,425.0,430.0,430.0,430.0,436.0,441.0,441.0
ABBA,0.0,0.0,0.0,14.0,14.0,71.0,74.0,74.0,74.0,74.0,74.0,76.0,76.0
AC/DC,0.0,29.0,78.0,124.0,124.0,124.0,124.0,127.0,171.0,172.0,181.0,192.0,192.0
AFI,0.0,1.0,3.0,49.0,50.0,51.0,98.0,101.0,103.0,113.0,116.0,116.0,116.0
AURORA,0.0,0.0,0.0,110.0,136.0,238.0,420.0,443.0,445.0,467.0,496.0,506.0,506.0
AWOLNATION,1.0,10.0,128.0,180.0,184.0,191.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0
Adele,2.0,19.0,40.0,47.0,47.0,50.0,50.0,50.0,50.0,58.0,66.0,70.0,70.0
Adrenaline Mob,0.0,0.0,11.0,38.0,40.0,45.0,71.0,73.0,77.0,78.0,82.0,82.0,82.0
Aeon en,0.0,0.0,25.0,198.0,219.0,255.0,256.0,256.0,256.0,256.0,256.0,257.0,257.0
Aerosmith,69.0,184.0,308.0,339.0,339.0,436.0,442.0,520.0,546.0,580.0,588.0,601.0,601.0
Agent Fresco,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,3.0,6.0,51.0,51.0
Airbag,4.0,22.0,23.0,66.0,132.0,184.0,209.0,226.0,228.0,233.0,235.0,235.0,235.0
Alan Silvestri,0.0,0.0,2.0,2.0,2.0,95.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0
Alec Benjamin,0.0,0.0,0.0,0.0,0.0,0.0,6.0,16.0,16.0,50.0,55.0,55.0,55.0
Alejandro San,6.0,47.0,48.0,50.0,50.0,51.0,51.0,53.0,53.0,53.0,53.0,53.0,53.0
Alex Turner,0.0,1.0,1.0,101.0,105.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0
Alexandre Desplat,0.0,1.0,12.0,12.0,12.0,38.0,59.0,71.0,71.0,71.0,71.0,71.0,71.0
Alice In Chains,2.0,2.0,23.0,69.0,78.0,217.0,257.0,262.0,281.0,289.0,327.0,328.0,328.0
Alkaline Trio,0.0,0.0,1.0,50.0,50.0,50.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0
Alter Bridge,0.0,18.0,52.0,81.0,97.0,185.0,217.0,224.0,225.0,373.0,603.0,610.0,610.0
Amy Winehouse,0.0,0.0,0.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,92.0,104.0,104.0
Anathema,0.0,1.0,99.0,200.0,243.0,363.0,481.0,493.0,493.0,497.0,499.0,501.0,501.0
Anberlin,0.0,0.0,19.0,52.0,56.0,59.0,65.0,68.0,68.0,69.0,69.0,69.0,69.0
Andrés Calamaro,15.0,443.0,625.0,632.0,643.0,643.0,644.0,645.0,645.0,646.0,646.0,646.0,646.0
Angels & Airwaves,0.0,64.0,96.0,100.0,100.0,102.0,103.0,119.0,119.0,119.0,119.0,119.0,119.0
Antimatter,0.0,0.0,23.0,30.0,50.0,89.0,103.0,116.0,116.0,116.0,116.0,116.0,116.0
Antonio Vivaldi,1.0,1.0,1.0,3.0,8.0,38.0,159.0,159.0,159.0,173.0,173.0,192.0,192.0
Apocalyptica,5.0,5.0,39.0,128.0,145.0,183.0,205.0,227.0,227.0,236.0,251.0,253.0,253.0
April Rain,0.0,0.0,21.0,36.0,36.0,37.0,45.0,53.0,53.0,53.0,55.0,55.0,55.0
Arch Enemy,0.0,2.0,4.0,20.0,28.0,50.0,50.0,51.0,51.0,51.0,51.0,51.0,51.0
Arctic Monkeys,16.0,59.0,123.0,1301.0,1399.0,1628.0,1656.0,1911.0,1923.0,1985.0,2031.0,2036.0,2036.0
Arde la Sangre,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,19.0,19.0,48.0,61.0,61.0
Ariana Grande,31.0,182.0,288.0,386.0,386.0,713.0,1350.0,1641.0,1689.0,1794.0,1835.0,1858.0,1858.0
Ashe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,46.0,81.0,89.0,89.0,89.0
Astor Piaolla,1.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,98.0,98.0,118.0,118.0,118.0
Attaque 77,1.0,34.0,41.0,102.0,115.0,115.0,115.0,118.0,118.0,121.0,121.0,122.0,122.0
Audioslave,13.0,53.0,122.0,199.0,228.0,490.0,625.0,697.0,705.0,848.0,1050.0,1064.0,1064.0
Automatic Loveletter,0.0,0.0,46.0,90.0,99.0,113.0,132.0,164.0,168.0,169.0,177.0,178.0,178.0
Avantasia,0.0,1.0,26.0,26.0,49.0,89.0,90.0,90.0,90.0,91.0,94.0,94.0,94.0
Avenged Sevenfold,0.0,4.0,449.0,786.0,1091.0,1677.0,2657.0,2997.0,3127.0,3301.0,3375.0,3485.0,3509.0
Avicii,32.0,46.0,47.0,49.0,49.0,50.0,50.0,52.0,52.0,52.0,52.0,52.0,52.0
Avril Lavigne,8.0,24.0,25.0,64.0,64.0,69.0,69.0,77.0,89.0,90.0,108.0,108.0,108.0
Ayreon,0.0,1.0,13.0,92.0,123.0,174.0,177.0,179.0,179.0,179.0,179.0,179.0,179.0
Babasonicos,1.0,19.0,25.0,62.0,114.0,147.0,147.0,147.0,147.0,172.0,179.0,185.0,185.0
Backstreet Boys,52.0,92.0,108.0,142.0,142.0,143.0,150.0,156.0,156.0,156.0,159.0,159.0,159.0
Barco,0.0,0.0,0.0,85.0,85.0,85.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0
Bastille,1.0,2.0,16.0,35.0,37.0,57.0,59.0,93.0,93.0,93.0,96.0,99.0,99.0
Bear McCreary,0.0,0.0,50.0,50.0,50.0,78.0,80.0,85.0,85.0,85.0,85.0,85.0,85.0
Ben Howard,1.0,1.0,1.0,57.0,75.0,93.0,107.0,110.0,110.0,110.0,110.0,110.0,110.0
Ben Platt,0.0,0.0,0.0,0.0,0.0,0.0,66.0,113.0,114.0,114.0,114.0,114.0,114.0
Bersuit Vergarabat,17.0,126.0,127.0,146.0,174.0,188.0,188.0,188.0,188.0,194.0,204.0,239.0,239.0
Between The Buried And Me,0.0,2.0,12.0,42.0,49.0,60.0,63.0,65.0,65.0,65.0,65.0,65.0,65.0
Biffy Clyro,0.0,0.0,12.0,12.0,12.0,20.0,40.0,59.0,60.0,60.0,60.0,60.0,60.0
Big Big Train,0.0,0.0,5.0,8.0,33.0,89.0,119.0,120.0,120.0,120.0,120.0,120.0,120.0
Billie Eilish,0.0,0.0,0.0,2.0,2.0,4.0,511.0,2553.0,3147.0,3735.0,3997.0,4265.0,4266.0
Billy Idol,0.0,0.0,2.0,5.0,14.0,41.0,41.0,44.0,45.0,56.0,58.0,74.0,76.0
Birdy,1.0,12.0,13.0,30.0,36.0,48.0,59.0,77.0,79.0,79.0,79.0,81.0,81.0
Black Label Society,0.0,0.0,5.0,6.0,12.0,40.0,44.0,45.0,45.0,47.0,51.0,51.0,51.0
Black Sabbath,0.0,7.0,10.0,18.0,30.0,68.0,70.0,71.0,71.0,79.0,85.0,90.0,90.0
Blackfield,0.0,20.0,49.0,285.0,671.0,836.0,956.0,1022.0,1102.0,1144.0,1168.0,1179.0,1179.0
Blacktop Mojo,0.0,0.0,0.0,0.0,0.0,0.0,17.0,53.0,56.0,60.0,71.0,71.0,71.0
Blind Melon,0.0,0.0,588.0,789.0,858.0,1030.0,1094.0,1171.0,1175.0,1203.0,1204.0,1218.0,1218.0
Blur,0.0,7.0,12.0,82.0,88.0,108.0,114.0,115.0,115.0,122.0,127.0,127.0,127.0
Bon Jovi,41.0,320.0,471.0,509.0,510.0,522.0,547.0,614.0,649.0,681.0,725.0,733.0,734.0
Box Car Racer,8.0,9.0,19.0,45.0,50.0,51.0,51.0,55.0,56.0,56.0,62.0,62.0,62.0
Boyce Avenue,0.0,1.0,2.0,43.0,46.0,49.0,180.0,266.0,269.0,273.0,273.0,274.0,274.0
Breaking Benjamin,0.0,35.0,59.0,62.0,72.0,116.0,136.0,141.0,142.0,143.0,143.0,143.0,143.0
Breed 77,0.0,0.0,33.0,52.0,53.0,57.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
Britney Spears,16.0,83.0,110.0,149.0,149.0,166.0,169.0,183.0,195.0,195.0,202.0,204.0,204.0
Bruno Mars,1.0,41.0,55.0,67.0,78.0,80.0,80.0,80.0,80.0,80.0,83.0,93.0,93.0
Bryan Adams,3.0,11.0,14.0,17.0,17.0,17.0,19.0,112.0,146.0,160.0,190.0,194.0,194.0
Bullet For My Valentine,0.0,1.0,4.0,45.0,48.0,72.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0
Bush,1.0,1.0,8.0,8.0,27.0,61.0,64.0,69.0,69.0,70.0,71.0,71.0,71.0
Cage The Elephant,0.0,2.0,18.0,135.0,139.0,148.0,150.0,154.0,155.0,155.0,157.0,157.0,157.0
Caligula's Horse,0.0,0.0,0.0,18.0,69.0,199.0,210.0,211.0,230.0,232.0,241.0,255.0,255.0
Camila Cabello,0.0,0.0,0.0,5.0,5.0,25.0,85.0,96.0,98.0,102.0,103.0,106.0,106.0
Carajo,3.0,4.0,37.0,205.0,223.0,384.0,396.0,408.0,408.0,430.0,430.0,431.0,431.0
Catupecu Machu,0.0,110.0,158.0,268.0,286.0,299.0,299.0,337.0,339.0,339.0,340.0,340.0,340.0
Chaqueño Palavecino,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,17.0,68.0,70.0,70.0
Charly García,0.0,15.0,32.0,158.0,192.0,213.0,224.0,229.0,235.0,291.0,325.0,325.0,325.0
