track_name,artist,genre,play_count,danceability,energy,valence,tempo
The Distance,Poets of the Fall,Alternative Rock,4,0.517,0.232,0.662,119.3
Mr. Brightside,The Killers,Indie Rock,3,0.352,0.911,0.236,148.033
Guide Vocal - 2007 Remaster,Genesis,Progressive Rock,17,0.764,0.244,0.476,98.2
Intro - dialogue,Kansas,Other,3,0.721,0.316,0.641,123.3
Violet Chemistry,Miley Cyrus,Pop,4,0.405,0.745,0.682,114.6
IN MY REMAINS,Linkin Park,Alternative Rock,18,0.553,0.907,0.451,100.967
sincerely,Nessa Barrett,Pop,6,0.693,0.79,0.163,112.8
Hands All Over,Maroon 5,Pop Rock,13,0.193,0.489,0.271,150.4
Sk8er Boi,Avril Lavigne,Pop Rock,3,0.694,0.962,0.167,118.3
Secrets,The Weeknd,R&B,6,0.876,0.196,0.051,107.9
The Dead Don't Starve,The Dear Hunter,Progressive Rock,7,0.397,0.198,0.264,107.1
Sealed,Klone,Progressive Metal,3,0.156,0.282,0.565,129.6
When Bad Does Good,Chris Cornell,Grunge,3,0.223,0.132,0.452,122.8
He Visto a Lucy,Gustavo Cerati,Latin Rock,5,0.61,0.082,0.491,88.5
Session,Linkin Park,Alternative Rock,8,0.097,0.865,0.787,69.8
Vapour Trails,The Pineapple Thief,Progressive Rock,14,0.193,0.59,0.403,121.6
Bernadette - Post Romanian Storm,IAMX,Electronic,23,0.663,0.083,0.619,113.8
Sarah Smiles,Panic! At The Disco,Pop Rock,20,0.703,0.298,0.241,131.5
Estranged,Guns N' Roses,Classic Rock,5,0.893,0.372,0.59,155.8
Someone Like You,Lenny Kravitz,Classic Rock,4,0.064,0.439,0.249,189.7
Verte Reir - En Vivo,No Te Va Gustar,Latin Rock,4,0.374,0.639,0.732,91.8
Together Forever,Rick Astley,Pop,6,0.702,0.933,0.896,115.114
Space Dementia,Muse,Alternative Rock,25,0.519,0.749,0.793,111.2
Revisiting Snoke,John Williams,Soundtrack,7,0.843,0.286,0.837,150.1
Sin with a Grin,Shinedown,Hard Rock,13,0.229,0.157,0.842,113.3
Juke Box Hero,Foreigner,Classic Rock,3,0.492,0.54,0.54,143.9
Go Gentle,Robbie Williams,Pop Rock,3,0.884,0.595,0.609,159.3
I'm Against It - 2005 Remaster,Ramones,Punk Rock,5,0.556,0.488,0.275,98.3
Bars of St Bride´s,Björn J:son Lindh Staffan Scheja,Other,3,0.204,0.525,0.415,150.6
A Lonely Night,The Weeknd,R&B,6,0.593,0.467,0.346,113.7
FMLYHM,Seether,Hard Rock,9,0.427,0.628,0.39,109.4
Eternity,Stratovarius,Power Metal,5,0.885,0.347,0.24,123.9
Dream On,Boyce Avenue,Pop Rock,14,0.324,0.661,0.757,133.9
Break My Heart,Dua Lipa,Pop,3,0.73,0.729,0.467,113.011
Warmness On The Soul,Avenged Sevenfold,Hard Rock,4,0.614,0.636,0.308,117.966
The House Of Beorn - Extended Version,Howard Shore,Soundtrack,3,0.62,0.533,0.404,132.4
Funny Ways,Gentle Giant,Progressive Rock,5,0.86,0.368,0.522,100.7
Trashed and Scattered,Avenged Sevenfold,Hard Rock,23,0.313,0.393,0.75,128.0
Electric,Transatlantic,Progressive Rock,6,0.673,0.586,0.841,137.5
La valse d'Amélie,Yann Tiersen,Soundtrack,5,0.148,0.472,0.373,106.8
Tus regalos deberían de llegar,Fito Paez,Latin Rock,7,0.92,0.666,0.452,168.7
The National Anthem,Radiohead,Alternative Rock,8,0.412,0.408,0.051,69.6
Reckless Abandon,blink-182,Punk Rock,11,0.322,0.449,0.852,131.0
True Love Waits,Radiohead,Alternative Rock,3,0.509,0.358,0.524,171.5
The Kids Aren't Alright,The Offspring,Punk Rock,22,0.831,0.235,0.506,122.1
The Man,Ed Sheeran,Pop,33,0.316,0.415,0.322,118.1
Mr. Invisible,Thank You Scientist,Progressive Rock,6,0.609,0.276,0.409,132.5
Body and Soul,Tony Bennett,Jazz,3,0.464,0.493,0.686,108.0
Dancing Queen,ABBA,Pop,5,0.868,0.807,0.417,128.5
Who Wants To Live Forever - Live At Wembley Stadium / July 1986,Queen,Classic Rock,8,0.825,0.202,0.207,138.1
Acquired Taste,Leprous,Progressive Metal,7,0.171,0.687,0.356,170.2
