genre,artist,play_count,total_minutes,subgenre
Metal,Deftones,100,292.5,Alternative Metal
Rock,A Perfect Circle,77,148.3,Alternative Rock
Rock,Beck,5,7.6,Alternative Rock
Rock,Blind Melon,499,1191.3,Alternative Rock
Rock,Cage The Elephant,95,154.8,Alternative Rock
Rock,Dredg,6,16.0,Alternative Rock
Rock,Foo Fighters,204,688.1,Alternative Rock
Rock,Linkin Park,763,1771.5,Alternative Rock
Rock,Muse,3093,10562.1,Alternative Rock
Rock,Pixies,10,22.1,Alternative Rock
Rock,Placebo,442,1060.3,Alternative Rock
Rock,Poets of the Fall,680,1692.0,Alternative Rock
Rock,Radiohead,682,1827.6,Alternative Rock
Rock,Red Hot Chili Peppers,481,1760.3,Alternative Rock
Rock,Royal Blood,42,110.3,Alternative Rock
Rock,The Rasmus,1411,3177.3,Alternative Rock
Rock,The Smashing Pumpkins,71,171.6,Alternative Rock
Rock,Thirty Seconds To Mars,1712,4427.3,Alternative Rock
Blues,B.B. King,23,78.4,Blues
Rock,AC/DC,85,259.1,Classic Rock
Rock,Aerosmith,289,993.4,Classic Rock
Rock,Black Sabbath,54,162.0,Classic Rock
Rock,Blue Öyster Cult,12,46.0,Classic Rock
Rock,Bon Jovi,288,1043.2,Classic Rock
Rock,David Bowie,53,182.4,Classic Rock
Rock,Deep Purple,41,102.4,Classic Rock
Rock,Fleetwood Mac,11,31.0,Classic Rock
Rock,Foreigner,11,33.4,Classic Rock
Rock,Guns N' Roses,289,1226.1,Classic Rock
Rock,Iggy Pop,8,21.8,Classic Rock
Rock,Led eppelin,144,594.2,Classic Rock
Rock,Lenny Kravit,580,1655.4,Classic Rock
Rock,Poison,9,18.4,Classic Rock
Rock,Queen,1462,4715.7,Classic Rock
Rock,Scorpions,9,31.0,Classic Rock
Rock,The Beatles,135,232.0,Classic Rock
Rock,The Rolling Stones,144,347.1,Classic Rock
Rock,The Who,11,32.8,Classic Rock
Classical,Frédéric Chopin,760,2304.9,Classical
Classical,Johann Sebastian Bach,92,237.8,Classical
Classical,Ludwig van Beethoven,37,225.2,Classical
