genre,artist,play_count,total_minutes
Alternative Metal,Deftones,100,292.5
Alternative Rock,A Perfect Circle,77,148.3
Alternative Rock,Beck,5,7.6
Alternative Rock,Blind Melon,499,1191.3
Alternative Rock,Cage The Elephant,95,154.8
Alternative Rock,Dredg,6,16.0
Alternative Rock,Foo Fighters,204,688.1
Alternative Rock,Linkin Park,763,1771.5
Alternative Rock,Muse,3093,10562.1
Alternative Rock,Pixies,10,22.1
Alternative Rock,Placebo,442,1060.3
Alternative Rock,Poets of the Fall,680,1692.0
Alternative Rock,Radiohead,682,1827.6
Alternative Rock,Red Hot Chili Peppers,481,1760.3
Alternative Rock,Royal Blood,42,110.3
Alternative Rock,The Rasmus,1411,3177.3
Alternative Rock,The Smashing Pumpkins,71,171.6
Alternative Rock,Thirty Seconds To Mars,1712,4427.3
Blues,B.B. King,23,78.4
Classic Rock,AC/DC,85,259.1
Classic Rock,Aerosmith,289,993.4
Classic Rock,Black Sabbath,54,162.0
Classic Rock,Blue Öyster Cult,12,46.0
Classic Rock,Bon Jovi,288,1043.2
Classic Rock,David Bowie,53,182.4
Classic Rock,Deep Purple,41,102.4
Classic Rock,Fleetwood Mac,11,31.0
Classic Rock,Foreigner,11,33.4
Classic Rock,Guns N' Roses,289,1226.1
Classic Rock,Iggy Pop,8,21.8
Classic Rock,Led eppelin,144,594.2
Classic Rock,Lenny Kravit,580,1655.4
Classic Rock,Poison,9,18.4
Classic Rock,Queen,1462,4715.7
Classic Rock,Scorpions,9,31.0
Classic Rock,The Beatles,135,232.0
Classic Rock,The Rolling Stones,144,347.1
Classic Rock,The Who,11,32.8
Classical,Frédéric Chopin,760,2304.9
Classical,Johann Sebastian Bach,92,237.8
Classical,Ludwig van Beethoven,37,225.2
Classical,Wolfgang Amadeus Moart,41,208.2
Doom Metal,Saturnus,5,8.1
Electronic,Aquilo,16,39.9
Electronic,Boards of Canada,8,13.1
Electronic,Boy Epic,7,22.7
Electronic,Chet Faker,90,334.6
Electronic,Daft Punk,40,152.3
Electronic,Depeche Mode,608,2005.4
Electronic,Hurts,297,644.2
Electronic,IAMX,1373,3486.9
Electronic,M83,13,26.4
Electronic,Magic Sword,18,83.1
Electronic,Major Laer,10,12.6
Electronic,Oneohtrix Point Never,7,11.6
Electronic,Skrillex,39,147.7
Electronic,The Prodigy,5,11.8
Electronic,Tiësto,9,33.6
Electronic,Trent Renor,20,85.4
Grunge,Alice In Chains,138,413.4
Grunge,Chris Cornell,377,954.1
Grunge,Nirvana,484,1345.1
Grunge,Pearl Jam,251,967.2
Grunge,Soundgarden,172,601.2
Hard Rock,Adema,9,18.1
Hard Rock,Alter Bridge,311,1145.9
Hard Rock,Avenged Sevenfold,2229,8557.6
Hard Rock,Breaking Benjamin,78,213.4
Hard Rock,Disturbed,48,162.5
Hard Rock,Ends With A Bullet,10,7.9
Hard Rock,Evanescence,176,483.3
Hard Rock,Godsmack,27,46.8
Hard Rock,Hoobastank,24,52.0
Hard Rock,KISS,6,21.8
Hard Rock,Saliva,70,205.9
Hard Rock,Seether,210,536.7
Hard Rock,Shinedown,3616,9057.5
Hard Rock,Three Days Grace,302,605.9
Hard Rock,Van Halen,11,26.6
Hip Hop,Eminem,363,1160.6
Hip Hop,Kanye West,6,14.3
Hip Hop,Kendrick Lamar,11,19.4
Hip Hop,Post Malone,9,18.5
Hip Hop,Will Smith,6,19.6
Indie Rock,Arcade Fire,23,65.7
Indie Rock,Arctic Monkeys,934,2102.7
Indie Rock,Elliott Smith,58,70.0
Indie Rock,Fran Ferdinand,20,54.4
Indie Rock,Interpol,83,206.5
Indie Rock,Kasabian,33,86.1
Indie Rock,Keane,33,93.8
Indie Rock,Oasis,224,745.1
Indie Rock,Sam Fender,7,9.1
Indie Rock,Supergrass,12,23.4
Indie Rock,The Killers,183,496.4
Indie Rock,Travis,31,82.0
Jazz,Tony Bennett,10,28.3
Latin Folk,Facundo Toro,27,78.3
Latin Folk,Onda Vaga,14,23.6
Latin Pop,Abel Pintos,15,46.4
Latin Pop,Alejandro San,32,135.6
Latin Pop,Ricky Martin,10,24.9
Latin Pop,Romeo Santos,7,22.5
Latin Pop,Thalia,5,12.7
Latin Rock,Barco,48,88.5
Latin Rock,Bersuit Vergarabat,139,435.4
Latin Rock,Ciro y los Persas,22,94.0
Latin Rock,Connor Questa,21,55.0
Latin Rock,Eruca Sativa,343,632.6
Latin Rock,Fito Pae,1354,3689.8
Latin Rock,Gustavo Cerati,396,1417.3
Latin Rock,JAF,6,26.1
Latin Rock,La Renga,44,80.3
Latin Rock,Las Pastillas del Abuelo,6,14.1
Latin Rock,No Te Va Gustar,131,441.3
Latin Rock,Patricio Rey y sus Redonditos de Ricota,114,271.4
Latin Rock,Pork,305,1181.9
Latin Rock,Soda Stereo,358,1120.1
Latin Rock,ambayonny,7,6.1
Metal,Arch Enemy,13,21.5
Metal,Bring Me The Horion,21,65.0
Metal,Children Of Bodom,164,440.4
Metal,Ghost,30,108.0
Metal,In This Moment,699,1505.7
Metal,Iron Maiden,332,1310.6
Metal,Korn,244,559.6
Metal,Lindemann,19,44.3
Metal,Megadeth,430,1324.4
Metal,Metallica,490,1997.9
Metal,Slipknot,295,854.6
Metal,System Of A Down,315,766.2
Other, Top,43,131.4
Other,"""Weird Al"" Yankovic",14,11.6
Other,*NSYNC,164,480.4
Other,10 Years,970,2552.5
