year,genre,play_count,total_minutes,subgenre
2014,Metal,5,14.6,Alternative Metal
2014,Rock,1005,4158.1,Alternative Rock
2014,Rock,266,1113.2,Classic Rock
2014,Classical,28,139.3,Classical
2014,Electronic,31,124.6,Electronic
2014,Grunge,24,94.4,Grunge
2014,Rock,20,75.6,Hard Rock
2014,Hop,10,32.9,Hip Hop
2014,Rock,50,168.1,Indie Rock
2014,Pop,32,108.1,Latin Pop
2014,Rock,63,239.7,Latin Rock
2014,Metal,1,0.8,Metal
2014,Pop,316,1213.4,Pop
2014,Rock,932,3246.3,Pop Rock
2014,Metal,8,30.9,Power Metal
2014,Metal,4,14.2,Progressive Metal
2014,Rock,244,1180.4,Progressive Rock
2014,Rock,58,148.8,Punk Rock
2014,Soundtrack,72,177.6,Soundtrack
2015,Rock,1088,4232.8,Alternative Rock
2015,Rock,1014,4031.5,Classic Rock
2015,Classical,8,40.3,Classical
2015,Electronic,59,233.8,Electronic
2015,Folk,1,5.1,Folk
2015,Grunge,33,110.9,Grunge
2015,Rock,859,2525.2,Hard Rock
2015,Hop,8,28.9,Hip Hop
2015,Rock,75,264.2,Indie Rock
2015,Jazz,9,28.0,Jazz
2015,Pop,28,114.0,Latin Pop
2015,Rock,568,2283.6,Latin Rock
2015,Metal,35,128.4,Metal
2015,Pop,857,2921.5,Pop
2015,Rock,1773,6278.1,Pop Rock
2015,Metal,36,49.7,Power Metal
2015,Metal,66,297.3,Progressive Metal
2015,Rock,606,2844.2,Progressive Rock
2015,Rock,55,162.3,Punk Rock
2015,R&B,6,29.6,R&B
2015,Rock,4,14.3,Rock
2015,Soundtrack,35,108.3,Soundtrack
2015,Metal,14,58.0,Symphonic Metal
2016,Rock,2441,6031.4,Alternative Rock
2016,Rock,551,1743.5,Classic Rock
2016,Classical,4,17.3,Classical
2016,Metal,3,1.3,Doom Metal
2016,Electronic,440,1152.4,Electronic
2016,Grunge,101,358.0,Grunge
2016,Rock,1894,4609.2,Hard Rock
2016,Hop,24,79.5,Hip Hop
2016,Rock,102,326.0,Indie Rock
2016,Jazz,1,0.4,Jazz
2016,Folk,2,3.8,Latin Folk
2016,Pop,4,9.7,Latin Pop
2016,Rock,152,415.1,Latin Rock
2016,Metal,244,755.4,Metal
2016,Pop,358,1016.6,Pop
2016,Rock,1627,4406.0,Pop Rock
2016,Post-Hardcore,36,50.5,Post-Hardcore
2016,Post-Rock,27,58.0,Post-Rock
2016,Metal,762,1519.1,Power Metal
