year,month,year_month,genre,plays,unique_tracks,unique_artists,total_minutes,avg_danceability,avg_energy,avg_valence
2014,6,2014-06,Indie Rock,1,1,1,3.0,0.663,0.678,0.417
2014,6,2014-06,Latin Pop,1,1,1,5.1,0.766,0.755,0.588
2014,6,2014-06,Other,18,18,16,47.6,0.515,0.43,0.5
2014,6,2014-06,Pop,1,1,1,3.9,0.634,0.87,0.514
2014,6,2014-06,Pop Rock,1,1,1,0.1,0.517,0.736,0.159
2014,7,2014-07,Alternative Rock,18,13,1,68.5,0.55,0.531,0.535
2014,7,2014-07,Classic Rock,9,8,7,20.3,0.397,0.474,0.629
2014,7,2014-07,Electronic,2,2,2,0.6,0.618,0.562,0.642
2014,7,2014-07,Other,189,173,85,483.1,0.498,0.537,0.502
2014,7,2014-07,Pop Rock,2,1,1,1.7,0.517,0.736,0.159
2014,7,2014-07,Progressive Rock,1,1,1,3.4,0.759,0.764,0.292
2014,8,2014-08,Alternative Rock,330,82,6,1361.2,0.498,0.481,0.438
2014,8,2014-08,Classic Rock,56,45,6,225.2,0.472,0.539,0.528
2014,8,2014-08,Classical,25,21,3,126.6,0.57,0.51,0.577
2014,8,2014-08,Grunge,13,13,2,42.6,0.497,0.512,0.452
2014,8,2014-08,Hard Rock,20,20,1,75.6,0.48,0.571,0.43
2014,8,2014-08,Hip Hop,5,5,2,20.7,0.511,0.569,0.469
2014,8,2014-08,Indie Rock,19,15,4,59.3,0.498,0.596,0.428
2014,8,2014-08,Latin Pop,1,1,1,3.7,0.99,0.371,0.506
2014,8,2014-08,Latin Rock,1,1,1,0.2,0.375,0.648,0.503
2014,8,2014-08,Other,1414,885,214,5130.8,0.493,0.507,0.483
2014,8,2014-08,Pop,72,52,7,272.3,0.469,0.564,0.499
2014,8,2014-08,Pop Rock,104,56,4,347.7,0.494,0.492,0.448
2014,8,2014-08,Progressive Metal,3,3,2,7.9,0.573,0.544,0.386
2014,8,2014-08,Progressive Rock,16,12,1,70.6,0.426,0.485,0.505
2014,8,2014-08,Punk Rock,26,17,2,60.9,0.494,0.537,0.577
2014,8,2014-08,Soundtrack,4,4,2,9.2,0.566,0.497,0.451
2014,9,2014-09,Alternative Rock,243,85,3,1013.3,0.511,0.499,0.449
2014,9,2014-09,Classic Rock,74,40,4,326.2,0.498,0.526,0.54
2014,9,2014-09,Classical,2,2,2,10.8,0.56,0.26,0.36
2014,9,2014-09,Electronic,1,1,1,4.6,0.439,0.838,0.818
2014,9,2014-09,Grunge,11,7,1,51.8,0.495,0.537,0.422
2014,9,2014-09,Indie Rock,3,2,2,11.5,0.492,0.442,0.153
2014,9,2014-09,Latin Rock,6,5,2,16.0,0.314,0.623,0.429
2014,9,2014-09,Other,1037,668,142,4103.4,0.505,0.527,0.486
2014,9,2014-09,Pop,59,50,5,223.0,0.515,0.475,0.511
2014,9,2014-09,Pop Rock,72,27,3,247.6,0.47,0.488,0.434
2014,9,2014-09,Progressive Rock,36,34,3,207.7,0.462,0.476,0.491
2014,9,2014-09,Soundtrack,50,45,5,118.2,0.489,0.5,0.545
2014,10,2014-10,Alternative Rock,161,73,4,633.0,0.474,0.469,0.453
2014,10,2014-10,Classic Rock,48,28,4,208.3,0.577,0.534,0.563
2014,10,2014-10,Electronic,6,2,1,26.7,0.469,0.713,0.705
2014,10,2014-10,Hip Hop,1,1,1,0.4,0.536,0.552,0.191
2014,10,2014-10,Indie Rock,5,2,1,11.7,0.534,0.402,0.681
2014,10,2014-10,Latin Pop,12,12,4,32.1,0.498,0.626,0.587
2014,10,2014-10,Latin Rock,13,12,2,44.4,0.394,0.438,0.505
2014,10,2014-10,Other,1247,755,93,4681.8,0.478,0.502,0.471
2014,10,2014-10,Pop,37,29,2,152.6,0.474,0.487,0.518
2014,10,2014-10,Pop Rock,361,91,3,1263.5,0.438,0.479,0.44
2014,10,2014-10,Progressive Metal,1,1,1,6.3,0.365,0.611,0.138
2014,10,2014-10,Progressive Rock,112,79,1,505.4,0.525,0.499,0.477
2014,10,2014-10,Punk Rock,25,24,2,62.0,0.457,0.549,0.535
2014,10,2014-10,Soundtrack,5,5,1,8.6,0.568,0.537,0.315
2014,11,2014-11,Alternative Metal,5,5,1,14.6,0.288,0.769,0.505
2014,11,2014-11,Alternative Rock,103,50,2,451.1,0.485,0.505,0.447
2014,11,2014-11,Classic Rock,49,39,5,214.7,0.491,0.504,0.526
2014,11,2014-11,Electronic,5,5,1,25.6,0.415,0.568,0.395
2014,11,2014-11,Hip Hop,3,2,1,5.4,0.705,0.642,0.321
2014,11,2014-11,Indie Rock,20,18,3,76.8,0.448,0.465,0.523
2014,11,2014-11,Latin Pop,16,12,2,57.1,0.519,0.561,0.547
2014,11,2014-11,Latin Rock,28,25,2,113.6,0.401,0.517,0.551
2014,11,2014-11,Metal,1,1,1,0.8,0.645,0.645,0.459
2014,11,2014-11,Other,991,733,83,3792.6,0.481,0.524,0.496
2014,11,2014-11,Pop,80,37,4,309.1,0.46,0.519,0.522
2014,11,2014-11,Pop Rock,151,73,3,540.0,0.448,0.505,0.454
2014,11,2014-11,Power Metal,1,1,1,0.8,0.254,0.54,0.59
2014,11,2014-11,Progressive Rock,59,43,2,307.0,0.556,0.565,0.496
2014,11,2014-11,Soundtrack,3,3,1,9.3,0.548,0.39,0.326
2014,12,2014-12,Alternative Rock,150,67,4,631.0,0.536,0.549,0.469
2014,12,2014-12,Classic Rock,30,20,2,118.5,0.507,0.551,0.529
2014,12,2014-12,Classical,1,1,1,1.9,0.29,0.343,0.552
2014,12,2014-12,Electronic,17,15,2,67.1,0.486,0.461,0.532
2014,12,2014-12,Hip Hop,1,1,1,6.3,0.208,0.162,0.614
2014,12,2014-12,Indie Rock,2,2,1,5.9,0.612,0.532,0.355
2014,12,2014-12,Latin Pop,2,2,1,10.0,0.825,0.66,0.376
2014,12,2014-12,Latin Rock,15,15,2,65.5,0.449,0.508,0.518
2014,12,2014-12,Other,1021,659,107,3736.6,0.553,0.548,0.526
2014,12,2014-12,Pop,67,50,7,252.5,0.472,0.524,0.486
2014,12,2014-12,Pop Rock,241,79,2,845.6,0.45,0.498,0.453
2014,12,2014-12,Power Metal,7,7,1,30.1,0.576,0.499,0.713
2014,12,2014-12,Progressive Rock,20,17,1,86.4,0.506,0.541,0.52
2014,12,2014-12,Punk Rock,7,7,1,26.0,0.694,0.471,0.441
2014,12,2014-12,Soundtrack,10,10,2,32.2,0.399,0.53,0.416
2015,1,2015-01,Alternative Rock,65,43,3,266.8,0.489,0.51,0.479
2015,1,2015-01,Classic Rock,76,66,5,312.8,0.492,0.522,0.542
2015,1,2015-01,Electronic,8,7,2,33.6,0.576,0.59,0.6
2015,1,2015-01,Grunge,1,1,1,0.2,0.36,0.684,0.2
2015,1,2015-01,Indie Rock,1,1,1,4.0,0.529,0.389,0.841
2015,1,2015-01,Latin Pop,2,2,2,4.2,0.594,0.696,0.835
2015,1,2015-01,Latin Rock,47,37,4,203.2,0.417,0.472,0.449
2015,1,2015-01,Metal,1,1,1,5.7,0.519,0.179,0.33
2015,1,2015-01,Other,956,719,188,3572.0,0.522,0.515,0.49
2015,1,2015-01,Pop,47,27,4,181.1,0.459,0.502,0.46
2015,1,2015-01,Pop Rock,196,53,4,678.0,0.444,0.48,0.455
2015,1,2015-01,Progressive Rock,21,15,2,131.6,0.486,0.588,0.524
2015,1,2015-01,Punk Rock,11,11,3,34.1,0.434,0.533,0.607
2015,2,2015-02,Alternative Rock,24,19,2,108.8,0.47,0.489,0.403
2015,2,2015-02,Classic Rock,72,65,7,337.5,0.468,0.554,0.502
2015,2,2015-02,Electronic,4,4,1,15.3,0.682,0.579,0.467
2015,2,2015-02,Indie Rock,1,1,1,0.1,0.529,0.389,0.841
2015,2,2015-02,Latin Pop,3,3,3,13.1,0.45,0.554,0.57
2015,2,2015-02,Metal,1,1,1,4.2,0.753,0.847,0.613
2015,2,2015-02,Other,479,378,74,1762.6,0.527,0.498,0.512
2015,2,2015-02,Pop,24,17,4,96.5,0.481,0.499,0.451
2015,2,2015-02,Pop Rock,110,37,1,395.5,0.417,0.496,0.435
2015,2,2015-02,Power Metal,5,5,2,22.7,0.434,0.342,0.421
2015,2,2015-02,Progressive Rock,4,4,1,29.0,0.422,0.384,0.474
2015,2,2015-02,Symphonic Metal,5,4,1,25.3,0.476,0.377,0.277
2015,3,2015-03,Alternative Rock,61,40,2,282.8,0.499,0.569,0.466
2015,3,2015-03,Classic Rock,102,68,7,434.5,0.489,0.558,0.515
2015,3,2015-03,Classical,3,3,1,15.3,0.439,0.488,0.868
2015,3,2015-03,Electronic,1,1,1,0.1,0.407,0.075,0.357
2015,3,2015-03,Indie Rock,4,1,1,10.7,0.529,0.389,0.841
2015,3,2015-03,Latin Pop,4,2,1,20.1,0.825,0.66,0.376
2015,3,2015-03,Latin Rock,37,21,2,159.3,0.364,0.413,0.48
2015,3,2015-03,Other,948,667,85,3675.3,0.522,0.556,0.471
2015,3,2015-03,Pop,49,38,7,191.4,0.519,0.541,0.461
2015,3,2015-03,Pop Rock,196,52,4,708.9,0.378,0.514,0.409
2015,3,2015-03,Power Metal,2,2,1,4.3,0.433,0.748,0.214
2015,3,2015-03,Progressive Metal,1,1,1,3.8,0.418,0.502,0.639
2015,3,2015-03,Progressive Rock,65,64,3,329.8,0.498,0.472,0.463
2015,3,2015-03,Soundtrack,3,3,3,9.7,0.66,0.291,0.704
2015,3,2015-03,Symphonic Metal,6,5,1,24.6,0.508,0.276,0.412
2015,4,2015-04,Alternative Rock,50,30,1,220.8,0.535,0.482,0.475
2015,4,2015-04,Classic Rock,87,30,4,319.0,0.498,0.581,0.575
2015,4,2015-04,Indie Rock,4,3,2,10.8,0.55,0.518,0.742
2015,4,2015-04,Latin Rock,10,9,2,36.4,0.313,0.404,0.544
2015,4,2015-04,Metal,3,3,1,16.9,0.305,0.752,0.671
2015,4,2015-04,Other,1056,642,49,4066.1,0.526,0.516,0.497
2015,4,2015-04,Pop,65,42,3,266.9,0.477,0.486,0.455
2015,4,2015-04,Pop Rock,290,89,2,962.3,0.434,0.482,0.459
2015,4,2015-04,Progressive Rock,9,7,1,32.6,0.385,0.467,0.541
2015,4,2015-04,Soundtrack,2,2,1,7.2,0.511,0.449,0.627
2015,4,2015-04,Symphonic Metal,1,1,1,4.0,0.583,0.315,0.676
2015,5,2015-05,Alternative Rock,70,46,4,298.7,0.544,0.499,0.476
2015,5,2015-05,Classic Rock,16,16,2,62.4,0.551,0.497,0.529
2015,5,2015-05,Hard Rock,26,24,1,77.1,0.504,0.544,0.422
2015,5,2015-05,Indie Rock,1,1,1,4.0,0.529,0.389,0.841
2015,5,2015-05,Latin Pop,2,1,1,10.4,0.673,0.753,0.424
2015,5,2015-05,Latin Rock,27,17,2,114.4,0.343,0.393,0.527
2015,5,2015-05,Metal,6,6,2,33.5,0.414,0.698,0.466
2015,5,2015-05,Other,716,580,92,2634.0,0.516,0.521,0.471
2015,5,2015-05,Pop,74,38,5,272.1,0.484,0.516,0.484
2015,5,2015-05,Pop Rock,93,65,3,321.1,0.458,0.473,0.491
2015,5,2015-05,Progressive Rock,10,9,2,47.2,0.458,0.441,0.423
2015,5,2015-05,Punk Rock,15,13,1,47.3,0.498,0.383,0.6
2015,5,2015-05,Soundtrack,10,10,3,43.6,0.497,0.568,0.56
2015,5,2015-05,Symphonic Metal,1,1,1,0.1,0.151,0.551,0.652
2015,6,2015-06,Alternative Rock,222,81,3,938.2,0.542,0.519,0.495
2015,6,2015-06,Classic Rock,113,67,9,457.8,0.506,0.579,0.543
2015,6,2015-06,Electronic,2,2,1,8.8,0.485,0.651,0.649
2015,6,2015-06,Hard Rock,72,34,1,265.9,0.458,0.619,0.419
2015,6,2015-06,Indie Rock,4,3,3,15.3,0.488,0.523,0.694
2015,6,2015-06,Latin Pop,3,2,1,11.4,0.774,0.691,0.392
2015,6,2015-06,Latin Rock,213,153,5,880.4,0.479,0.511,0.44
2015,6,2015-06,Other,1372,895,105,5295.7,0.512,0.546,0.459
2015,6,2015-06,Pop,60,37,8,216.8,0.445,0.499,0.487
2015,6,2015-06,Pop Rock,226,143,4,830.7,0.54,0.473,0.494
2015,6,2015-06,Power Metal,2,2,1,7.9,0.461,0.454,0.339
2015,6,2015-06,Progressive Rock,28,27,1,101.8,0.562,0.518,0.498
2015,6,2015-06,Soundtrack,5,5,1,19.3,0.55,0.548,0.458
2015,7,2015-07,Alternative Rock,108,38,4,391.0,0.566,0.504,0.521
2015,7,2015-07,Classic Rock,158,75,5,595.0,0.496,0.556,0.542
2015,7,2015-07,Grunge,4,4,1,12.6,0.601,0.644,0.473
2015,7,2015-07,Hard Rock,75,21,1,283.2,0.472,0.635,0.402
2015,7,2015-07,Hip Hop,5,5,1,22.9,0.677,0.401,0.453
2015,7,2015-07,Indie Rock,8,6,2,24.4,0.597,0.5,0.511
2015,7,2015-07,Jazz,9,9,1,28.0,0.389,0.519,0.644
2015,7,2015-07,Latin Pop,3,3,1,12.3,0.467,0.562,0.601
2015,7,2015-07,Latin Rock,55,28,1,231.7,0.445,0.46,0.446
2015,7,2015-07,Other,1021,677,88,3783.0,0.496,0.519,0.475
2015,7,2015-07,Pop,117,75,6,453.8,0.45,0.469,0.47
2015,7,2015-07,Pop Rock,153,69,2,575.9,0.522,0.496,0.465
2015,7,2015-07,Progressive Rock,26,25,2,85.1,0.569,0.518,0.448
2015,7,2015-07,Punk Rock,3,3,1,10.2,0.492,0.754,0.651
2015,8,2015-08,Alternative Rock,53,10,2,210.8,0.599,0.509,0.519
2015,8,2015-08,Classic Rock,28,17,4,96.0,0.491,0.602,0.615
2015,8,2015-08,Electronic,17,7,2,66.2,0.554,0.426,0.556
2015,8,2015-08,Grunge,3,3,1,8.2,0.475,0.406,0.683
2015,8,2015-08,Hard Rock,102,30,2,346.2,0.477,0.586,0.406
2015,8,2015-08,Indie Rock,10,9,1,45.7,0.557,0.499,0.589
2015,8,2015-08,Latin Rock,71,40,5,280.0,0.492,0.474,0.441
2015,8,2015-08,Metal,3,3,1,13.7,0.305,0.752,0.671
2015,8,2015-08,Other,858,610,100,3067.7,0.519,0.553,0.498
2015,8,2015-08,Pop,82,53,8,309.9,0.508,0.484,0.427
2015,8,2015-08,Pop Rock,102,68,3,370.0,0.561,0.515,0.449
2015,8,2015-08,Progressive Rock,6,6,2,30.1,0.532,0.577,0.531
2015,8,2015-08,Soundtrack,7,6,1,20.5,0.459,0.56,0.351
2015,9,2015-09,Alternative Rock,27,16,2,95.4,0.549,0.625,0.528
2015,9,2015-09,Classic Rock,63,51,6,273.8,0.519,0.556,0.54
2015,9,2015-09,Electronic,11,5,1,45.1,0.626,0.493,0.561
2015,9,2015-09,Grunge,18,16,2,63.0,0.438,0.533,0.432
2015,9,2015-09,Hard Rock,27,16,2,99.0,0.463,0.553,0.382
2015,9,2015-09,Indie Rock,8,7,2,33.1,0.552,0.43,0.58
2015,9,2015-09,Latin Pop,10,10,1,42.6,0.387,0.472,0.495
2015,9,2015-09,Latin Rock,17,14,3,51.7,0.369,0.489,0.516
2015,9,2015-09,Metal,1,1,1,0.3,0.148,0.71,0.591
2015,9,2015-09,Other,776,484,75,2731.4,0.519,0.525,0.495
2015,9,2015-09,Pop,125,77,5,135.6,0.516,0.503,0.482
2015,9,2015-09,Pop Rock,155,62,4,554.7,0.526,0.487,0.474
2015,9,2015-09,Progressive Metal,11,6,1,55.2,0.525,0.479,0.562
2015,9,2015-09,Progressive Rock,91,45,4,462.6,0.459,0.52,0.519
2015,9,2015-09,Punk Rock,1,1,1,0.6,0.321,0.89,0.428
2015,10,2015-10,Alternative Rock,178,71,9,602.5,0.54,0.509,0.49
2015,10,2015-10,Classic Rock,116,60,13,425.2,0.491,0.564,0.559
2015,10,2015-10,Classical,5,5,3,25.0,0.405,0.37,0.636
2015,10,2015-10,Grunge,5,5,2,16.0,0.4,0.497,0.456
2015,10,2015-10,Hard Rock,80,34,8,251.1,0.475,0.557,0.378
2015,10,2015-10,Hip Hop,2,2,1,5.5,0.578,0.672,0.358
2015,10,2015-10,Indie Rock,12,9,5,36.7,0.444,0.554,0.646
2015,10,2015-10,Latin Pop,1,1,1,0.0,0.149,0.315,0.17
2015,10,2015-10,Latin Rock,11,11,3,33.9,0.534,0.498,0.498
2015,10,2015-10,Metal,5,4,4,11.6,0.584,0.707,0.301
2015,10,2015-10,Other,1890,1274,493,6126.9,0.5,0.539,0.513
2015,10,2015-10,Pop,83,54,14,316.9,0.502,0.466,0.531
2015,10,2015-10,Pop Rock,144,95,7,497.9,0.547,0.487,0.496
2015,10,2015-10,Power Metal,10,9,2,3.3,0.544,0.426,0.571
2015,10,2015-10,Progressive Metal,8,6,3,28.9,0.342,0.382,0.427
2015,10,2015-10,Progressive Rock,65,35,5,281.8,0.487,0.538,0.522
2015,10,2015-10,Punk Rock,9,6,3,29.4,0.41,0.752,0.478
2015,10,2015-10,R&B,4,4,2,21.0,0.386,0.306,0.483
2015,10,2015-10,Rock,2,2,2,6.6,0.608,0.239,0.378
2015,10,2015-10,Soundtrack,7,6,3,4.3,0.557,0.518,0.388
2015,10,2015-10,Symphonic Metal,1,1,1,4.0,0.583,0.315,0.676
2015,11,2015-11,Alternative Rock,84,52,10,282.5,0.52,0.557,0.496
2015,11,2015-11,Classic Rock,152,87,12,596.0,0.509,0.59,0.573
2015,11,2015-11,Electronic,5,3,1,17.8,0.404,0.555,0.605
2015,11,2015-11,Folk,1,1,1,5.1,0.814,0.332,0.59
2015,11,2015-11,Hard Rock,207,94,9,511.8,0.538,0.575,0.438
2015,11,2015-11,Hip Hop,1,1,1,0.5,0.63,0.655,0.71
2015,11,2015-11,Indie Rock,13,10,6,46.7,0.435,0.546,0.467
2015,11,2015-11,Latin Rock,70,56,10,265.1,0.417,0.507,0.497
2015,11,2015-11,Metal,6,6,3,22.3,0.363,0.741,0.301
2015,11,2015-11,Other,1781,1147,368,6088.3,0.48,0.584,0.486
2015,11,2015-11,Pop,107,55,13,405.2,0.449,0.48,0.481
2015,11,2015-11,Pop Rock,52,40,5,185.6,0.509,0.431,0.547
2015,11,2015-11,Progressive Metal,15,14,3,76.2,0.488,0.585,0.444
2015,11,2015-11,Progressive Rock,28,15,3,135.5,0.462,0.572,0.534
2015,11,2015-11,Punk Rock,8,7,3,9.0,0.448,0.691,0.527
2015,11,2015-11,R&B,1,1,1,4.7,0.456,0.141,0.718
2015,11,2015-11,Rock,1,1,1,3.8,0.619,0.4,0.603
2015,11,2015-11,Soundtrack,1,1,1,3.7,0.631,0.5,0.68
2015,12,2015-12,Alternative Rock,146,75,9,534.5,0.532,0.558,0.504
2015,12,2015-12,Classic Rock,31,25,6,121.4,0.499,0.601,0.636
2015,12,2015-12,Electronic,11,11,1,46.9,0.609,0.487,0.57
2015,12,2015-12,Grunge,2,2,2,10.8,0.313,0.688,0.336
2015,12,2015-12,Hard Rock,270,83,10,690.8,0.536,0.552,0.446
2015,12,2015-12,Indie Rock,9,7,3,32.7,0.505,0.39,0.5
2015,12,2015-12,Latin Rock,10,9,4,27.4,0.306,0.512,0.516
2015,12,2015-12,Metal,9,6,3,20.1,0.369,0.658,0.297
2015,12,2015-12,Other,1684,920,250,5631.1,0.495,0.56,0.503
2015,12,2015-12,Pop,24,18,7,75.2,0.433,0.499,0.463
2015,12,2015-12,Pop Rock,56,45,7,197.5,0.507,0.445,0.445
2015,12,2015-12,Power Metal,17,16,1,11.5,0.558,0.427,0.439
2015,12,2015-12,Progressive Metal,31,18,2,133.1,0.602,0.553,0.422
2015,12,2015-12,Progressive Rock,253,73,5,1177.1,0.451,0.495,0.498
2015,12,2015-12,Punk Rock,8,3,3,31.6,0.44,0.87,0.526
2015,12,2015-12,R&B,1,1,1,4.0,0.42,0.58,0.216
2015,12,2015-12,Rock,1,1,1,3.8,0.619,0.4,0.603
